date,sector,open,close
2020-02-12,AUTOMOBILES_TRANSPORTATION,72.39,74.69
2020-02-12,STEEL_NONFERROUS,75.98,78.42
2020-02-12,MACHINERY,79.58,82.15
2020-02-12,ELECTRIC_APPLIANCES_PRECISION,83.19,85.90
2020-02-12,IT_SERVICES_OTHERS,86.80,89.65
2020-02-12,ELECTRIC_POWER_GAS,91.12,91.53
2020-02-12,TRANSPORTATION_LOGISTICS,94.06,97.20
2020-02-12,COMMERCIAL_WHOLESALE_TRADE,97.70,100.99
2020-02-12,RETAIL_TRADE,101.36,104.79
2020-02-12,BANKS,105.02,108.60
2020-02-12,FINANCIALS_EX_BANKS,108.69,112.42
2020-02-12,REAL_ESTATE,112.37,116.25
2020-02-13,FOODS,55.18,55.13
2020-02-13,ENERGY_RESOURCES,60.00,61.28
2020-02-13,CONSTRUCTION_MATERIALS,63.69,65.06
2020-02-13,RAW_MATERIALS_CHEMICALS,67.38,68.85
2020-02-13,PHARMACEUTICALS,69.65,69.65
2020-02-13,AUTOMOBILES_TRANSPORTATION,74.81,76.47
2020-02-13,STEEL_NONFERROUS,78.54,80.30
2020-02-13,MACHINERY,82.28,84.15
2020-02-13,ELECTRIC_APPLIANCES_PRECISION,86.03,88.00
2020-02-13,IT_SERVICES_OTHERS,89.79,91.88
2020-02-13,ELECTRIC_POWER_GAS,91.67,91.80
2020-02-13,TRANSPORTATION_LOGISTICS,97.34,99.66
2020-02-13,COMMERCIAL_WHOLESALE_TRADE,101.14,103.57
2020-02-13,RETAIL_TRADE,104.94,107.49
2020-02-13,BANKS,108.76,111.43
2020-02-13,FINANCIALS_EX_BANKS,112.59,115.38
2020-02-13,REAL_ESTATE,116.43,119.34
2020-02-14,FOODS,55.21,54.94
2020-02-14,ENERGY_RESOURCES,61.37,61.62
2020-02-14,CONSTRUCTION_MATERIALS,65.15,65.43
2020-02-14,RAW_MATERIALS_CHEMICALS,68.95,69.26
2020-02-14,PHARMACEUTICALS,69.75,69.47
2020-02-14,AUTOMOBILES_TRANSPORTATION,76.59,76.97
2020-02-14,STEEL_NONFERROUS,80.42,80.85
2020-02-14,MACHINERY,84.27,84.74
2020-02-14,ELECTRIC_APPLIANCES_PRECISION,88.14,88.65
2020-02-14,IT_SERVICES_OTHERS,92.01,92.57
2020-02-14,ELECTRIC_POWER_GAS,91.94,91.71
2020-02-14,TRANSPORTATION_LOGISTICS,99.81,100.46
2020-02-14,COMMERCIAL_WHOLESALE_TRADE,103.72,104.43
2020-02-14,RETAIL_TRADE,107.65,108.41
2020-02-14,BANKS,111.59,112.41
2020-02-14,FINANCIALS_EX_BANKS,115.55,116.42
2020-02-14,REAL_ESTATE,119.52,120.45
2020-02-17,FOODS,55.02,54.47
2020-02-17,ENERGY_RESOURCES,61.71,60.84
2020-02-17,CONSTRUCTION_MATERIALS,65.53,64.62
2020-02-17,RAW_MATERIALS_CHEMICALS,69.37,68.42
2020-02-17,PHARMACEUTICALS,69.58,68.95
2020-02-17,AUTOMOBILES_TRANSPORTATION,77.09,76.07
2020-02-17,STEEL_NONFERROUS,80.97,79.93
2020-02-17,MACHINERY,84.87,83.79
2020-02-17,ELECTRIC_APPLIANCES_PRECISION,88.78,87.68
2020-02-17,IT_SERVICES_OTHERS,92.71,91.58
2020-02-17,ELECTRIC_POWER_GAS,91.85,91.16
2020-02-17,TRANSPORTATION_LOGISTICS,100.61,99.44
2020-02-17,COMMERCIAL_WHOLESALE_TRADE,104.58,103.39
2020-02-17,RETAIL_TRADE,108.57,107.36
2020-02-17,BANKS,112.58,111.35
2020-02-17,FINANCIALS_EX_BANKS,116.60,115.35
2020-02-17,REAL_ESTATE,120.63,119.38
2020-02-18,FOODS,54.55,53.90
2020-02-18,ENERGY_RESOURCES,60.93,59.27
2020-02-18,CONSTRUCTION_MATERIALS,64.72,62.98
2020-02-18,RAW_MATERIALS_CHEMICALS,68.52,66.70
2020-02-18,PHARMACEUTICALS,69.06,68.30
2020-02-18,AUTOMOBILES_TRANSPORTATION,76.19,74.20
2020-02-18,STEEL_NONFERROUS,80.05,77.97
2020-02-18,MACHINERY,83.92,81.77
2020-02-18,ELECTRIC_APPLIANCES_PRECISION,87.81,85.58
2020-02-18,IT_SERVICES_OTHERS,91.72,89.41
2020-02-18,ELECTRIC_POWER_GAS,91.30,90.43
2020-02-18,TRANSPORTATION_LOGISTICS,99.59,97.13
2020-02-18,COMMERCIAL_WHOLESALE_TRADE,103.55,101.02
2020-02-18,RETAIL_TRADE,107.52,104.93
2020-02-18,BANKS,111.52,108.85
2020-02-18,FINANCIALS_EX_BANKS,115.53,112.80
2020-02-18,REAL_ESTATE,119.56,116.76
2020-02-19,FOODS,53.98,53.76
2020-02-19,ENERGY_RESOURCES,59.36,57.83
2020-02-19,CONSTRUCTION_MATERIALS,63.07,61.46
2020-02-19,RAW_MATERIALS_CHEMICALS,66.80,65.11
2020-02-19,PHARMACEUTICALS,68.40,68.19
2020-02-19,AUTOMOBILES_TRANSPORTATION,74.31,72.47
2020-02-19,STEEL_NONFERROUS,78.09,76.18
2020-02-19,MACHINERY,81.89,79.90
2020-02-19,ELECTRIC_APPLIANCES_PRECISION,85.71,83.65
2020-02-19,IT_SERVICES_OTHERS,89.55,87.42
2020-02-19,ELECTRIC_POWER_GAS,90.57,90.43
2020-02-19,TRANSPORTATION_LOGISTICS,97.28,95.02
2020-02-19,COMMERCIAL_WHOLESALE_TRADE,101.17,98.84
2020-02-19,RETAIL_TRADE,105.08,102.69
2020-02-19,BANKS,109.01,106.56
2020-02-19,FINANCIALS_EX_BANKS,112.96,110.45
2020-02-19,REAL_ESTATE,116.93,114.36
